time,Downwelling Shortwave Irradiance (W m-2)
2017-08-21 08:19:54.602000384,2.7
2017-08-21 08:20:59.128999936,2.6
2017-08-21 08:22:03.368000000,2.7
2017-08-21 08:23:07.652999680,2.7
2017-08-21 08:24:11.980000256,2.7
2017-08-21 08:25:16.387000320,2.7
2017-08-21 08:26:20.720999936,2.6
2017-08-21 08:26:54.555999744,2.6
2017-08-21 08:27:58.796999680,2.6
2017-08-21 08:29:03.279999488,2.6
2017-08-21 08:30:07.642000384,2.5
2017-08-21 08:31:12.685000192,2.5
2017-08-21 08:32:18.250999808,2.6
2017-08-21 08:33:22.568000000,2.6
2017-08-21 08:33:56.400999936,2.6
2017-08-21 08:35:00.639000064,2.6
2017-08-21 08:36:05.064999936,2.6
2017-08-21 08:37:09.863000064,2.6
2017-08-21 08:38:14.538999808,2.5
2017-08-21 08:39:18.776999936,2.6
2017-08-21 08:40:23.053000192,2.7
2017-08-21 08:40:55.276000256,2.7
2017-08-21 08:42:00.260000256,2.7
2017-08-21 08:43:04.555999744,2.6
2017-08-21 08:44:09.557000192,2.6
2017-08-21 08:45:14.614000128,2.6
2017-08-21 08:46:18.901000192,2.6
2017-08-21 08:47:23.517000192,2.7
2017-08-21 08:47:55.631000064,2.6
2017-08-21 08:48:59.908999680,2.6
2017-08-21 08:50:04.133999616,2.5
2017-08-21 08:51:08.520999936,2.5
2017-08-21 08:52:13.595000320,2.4
2017-08-21 08:53:17.836999680,2.5
2017-08-21 08:54:22.203000320,2.6
2017-08-21 08:54:55.706000384,2.7
2017-08-21 08:56:01.013000192,2.5
2017-08-21 08:57:05.378999808,2.6
2017-08-21 08:58:09.706999808,2.7
2017-08-21 08:59:13.934000128,2.7
2017-08-21 09:00:18.451000320,2.7
2017-08-21 09:01:22.687999488,2.7
2017-08-21 09:01:54.800999936,2.7
2017-08-21 09:02:59.546999808,2.7
2017-08-21 09:04:03.838999552,2.7
2017-08-21 09:05:08.572000256,2.6
2017-08-21 09:06:13.437999616,2.6
2017-08-21 09:07:18.286000128,2.8
2017-08-21 09:08:22.528000000,2.8
2017-08-21 09:08:54.646000128,2.8
2017-08-21 09:09:58.883999744,2.8
2017-08-21 09:11:03.459000320,2.7
2017-08-21 09:12:07.746999808,2.8
2017-08-21 09:13:12.263000064,2.7
2017-08-21 09:14:16.499999744,2.8
2017-08-21 09:15:20.996999680,2.8
2017-08-21 09:15:54.519000064,2.8
2017-08-21 09:16:58.758000128,3.0
2017-08-21 09:18:03.243999744,3.0
2017-08-21 09:19:07.671000064,3.0
2017-08-21 09:20:12.116000256,3.0
2017-08-21 09:21:16.384000000,3.0
2017-08-21 09:22:20.621999616,3.0
2017-08-21 09:22:54.517000192,3.0
2017-08-21 09:23:58.743000064,3.0
2017-08-21 09:25:03.578999808,3.0
2017-08-21 09:26:08.576000000,3.0
2017-08-21 09:27:12.802999808,3.0
2017-08-21 09:28:17.448999936,2.9
2017-08-21 09:29:21.687000064,2.9
2017-08-21 09:29:54.513999872,2.9
2017-08-21 09:30:59.296000000,3.0
